district,pres_2024_dem_two_party,pres_2024_dem_votes,pres_2024_rep_votes,house_2024_holder
AK-AL,0.436405,142830,184458,R
AL-01,0.223160,73647,256372,R
AL-02,0.539070,154803,132363,D
AL-03,0.264793,82856,230053,R
AL-04,0.165990,53293,267771,R
AL-05,0.352648,122385,224661,R
AL-06,0.305142,105210,239581,R
AL-07,0.617114,180218,111815,D
AR-01,0.269122,72184,196035,R
AR-02,0.420427,131088,180710,R
AR-03,0.372012,111992,189052,R
AR-04,0.296696,81560,193334,R
AZ-01,0.484316,216232,230237,R
AZ-02,0.425007,174799,236486,R
AZ-03,0.701537,147522,62762,D
AZ-04,0.533813,182893,159723,D
AZ-05,0.399036,175673,264571,R
AZ-06,0.496211,216024,219323,R
AZ-07,0.611932,170341,108025,R
AZ-08,0.417600,162183,226186,R
AZ-09,0.343304,137009,262080,R
CA-01,0.371889,117924,199171,R
CA-02,0.734012,276360,100146,D
CA-03,0.480564,201810,218134,R
CA-04,0.661394,224804,115090,D
CA-05,0.409309,151587,218762,R
CA-06,0.571831,166440,124625,D
CA-07,0.654302,195037,103047,D
CA-08,0.725501,199829,75607,D
CA-09,0.491046,122822,127301,D
CA-10,0.675194,246928,118786,D
CA-11,0.853118,295450,50868,D
CA-12,0.888232,269105,33862,D
CA-13,0.473353,100047,111311,D
CA-14,0.684424,191144,88133,D
CA-15,0.748260,220519,74190,D
CA-16,0.751729,249238,82315,D
CA-17,0.698314,176399,76208,D
CA-18,0.652359,149197,79507,D
CA-19,0.678291,246265,116802,D
CA-20,0.344929,110525,209903,R
CA-21,0.519691,101124,93461,D
CA-22,0.470483,79212,89151,R
CA-23,0.413980,109917,155596,R
CA-24,0.629521,214292,126113,D
CA-25,0.512974,125240,118905,D
CA-26,0.568103,190457,144794,D
CA-27,0.520269,157067,144829,D
CA-28,0.639488,204184,115109,D
CA-29,0.679667,154251,72700,D
CA-30,0.712625,233106,94003,D
CA-31,0.587163,151471,106500,D
CA-32,0.661482,224261,114767,D
CA-33,0.545216,128865,107491,D
CA-34,0.765209,156734,48091,D
CA-35,0.553030,130873,105774,D
CA-36,0.702172,261887,111080,D
CA-37,0.811545,184947,42948,D
CA-38,0.583002,166520,119105,D
CA-39,0.550055,125891,102979,D
