district,pres_2024_dem_two_party,pres_2024_dem_votes,pres_2024_rep_votes,redrawn_for_2026,incumbent,incumbent_party
AK-01,0.431534,140026,184458,no,Nick Begich,R
AL-01,0.318272,103117,220873,yes,Barry Moore,R
AL-02,0.427680,123966,165891,yes,Shomari Figures,D
AL-03,0.264637,82654,229676,yes,Mike Rogers,R
AL-04,0.165388,53098,267953,yes,Robert Aderholt,R
AL-05,0.352528,122344,224704,yes,Dale Strong,R
AL-06,0.325014,111288,231122,yes,Gary Palmer,R
AL-07,0.589741,175944,122397,yes,Terri Sewell,D
AR-01,0.269121,72183,196035,no,Rick Crawford,R
AR-02,0.420428,131089,180710,no,French Hill,R
AR-03,0.372046,112073,189161,no,Steve Womack,R
AR-04,0.296695,81560,193335,no,Bruce Westerman,R
AZ-01,0.484316,216232,230237,no,David Schweikert,R
AZ-02,0.424399,174969,237306,no,Eli Crane,R
AZ-03,0.701537,147522,62762,no,Yassamin Ansari,D
AZ-04,0.533813,182893,159723,no,Greg Stanton,D
AZ-05,0.399036,175673,264571,no,Andy Biggs,R
AZ-06,0.496211,216024,219323,no,Juan Ciscomani,R
AZ-07,0.611941,170352,108028,no,Adelita Grijalva,D
AZ-08,0.417600,162183,226186,no,Abe Hamadeh,R
AZ-09,0.343287,137012,262106,no,Paul Gosar,R
CA-01,0.563147,186337,144548,yes,James Gallagher,R
CA-02,0.627208,236586,140619,yes,Jared Huffman,D
CA-03,0.552623,195618,158363,yes,Kevin Kiley,I
CA-04,0.574742,191846,141949,yes,Mike Thompson,D
CA-05,0.393821,139318,214442,yes,Tom McClintock,R
CA-06,0.543413,176946,148674,yes,Ami Bera,D
CA-07,0.566211,189995,145560,yes,Doris Matsui,D
CA-08,0.675808,204669,98182,yes,John Garamendi,D
CA-09,0.558965,145369,114699,yes,Josh Harder,D
CA-10,0.673526,246231,119354,yes,Mark DeSaulnier,D
CA-11,0.853118,295463,50870,yes,Nancy Pelosi,D
CA-12,0.888208,269144,33875,yes,Lateefah Simon,D
CA-13,0.501923,101906,101125,yes,Adam Gray,D
CA-14,0.681014,186745,87471,yes,VACANT (Swalwell),D
CA-15,0.748180,220603,74250,yes,Kevin Mullin,D
CA-16,0.749420,246022,82261,yes,Sam Liccardo,D
CA-17,0.703708,177917,74911,yes,Ro Khanna,D
CA-18,0.646847,148835,81258,yes,Zoe Lofgren,D
CA-19,0.678281,246254,116802,yes,Jimmy Panetta,D
CA-20,0.335126,103310,204962,yes,Vince Fong,R
CA-21,0.530663,104289,92237,yes,Jim Costa,D
CA-22,0.490477,81817,84994,yes,David Valadao,R
CA-23,0.400416,108128,161911,yes,Jay Obernolte,R
CA-24,0.628698,214293,126559,yes,Salud Carbajal,D
CA-25,0.529728,140058,124338,yes,Raul Ruiz,D
CA-26,0.578595,193294,140781,yes,Julia Brownley,D
CA-27,0.550158,158101,129273,yes,George Whitesides,D
CA-28,0.630741,199379,116724,yes,Judy Chu,D
CA-29,0.673538,156025,75625,yes,Luz Rivas,D
CA-30,0.707186,233119,96524,yes,Laura Friedman,D
CA-31,0.563026,159494,123786,yes,Gil Cisneros,D
CA-32,0.628738,219603,129673,yes,Brad Sherman,D
CA-33,0.550374,132891,108565,yes,Pete Aguilar,D
CA-34,0.765207,156729,48090,yes,Jimmy Gomez,D
CA-35,0.540226,136179,115899,yes,Norma Torres,D
CA-36,0.702141,261912,111107,yes,Ted Lieu,D
CA-37,0.811544,184950,42949,yes,Sydney Kamlager-Dove,D
CA-38,0.563711,142634,110393,yes,Linda Sanchez,D
CA-39,0.548900,125382,103042,yes,Mark Takano,D
CA-40,0.436981,161640,208262,yes,Young Kim,R
CA-41,0.573222,172854,128694,yes,Ken Calvert,R
CA-42,0.567804,192323,146391,yes,Robert Garcia,D
CA-43,0.752939,162845,53434,yes,Maxine Waters,D
CA-44,0.681581,145093,67784,yes,Nanette Barragan,D
CA-45,0.520275,151772,139943,yes,Derek Tran,D
CA-46,0.583438,128647,91851,yes,Lou Correa,D
CA-47,0.552339,190293,154229,yes,Dave Min,D
CA-48,0.517418,165733,154575,yes,Darrell Issa,R
CA-49,0.562364,211077,164262,yes,Mike Levin,D
CA-50,0.594175,214644,146603,yes,Scott Peters,D
CA-51,0.594016,205156,140215,yes,Sara Jacobs,D
CA-52,0.590207,156713,108809,yes,Juan Vargas,D
CO-01,0.788064,280661,75479,no,Diana DeGette,D
CO-02,0.704591,295692,123973,no,Joe Neguse,D
